name,region,address,website,phone,rating,total_ratings,lat,lng,google_maps_url
PamAnilao and Padoy's Dive Camp,"Anilao, Batangas","Sitio Malaya, Mabini",https://www.facebook.com/pamanilaoandpadoysdivecamp,0908 863 1903,4.5,27,13.745617,120.8982651,https://maps.google.com/?cid=1062639556838457298
CASA AZUL DIVE RESORT,"Anilao, Batangas",Mabini,,,4.7,26,13.7569362,120.9249371,https://maps.google.com/?cid=16806756045898022004
Aquaventure Whitetip Dive Supply - Anilao,"Anilao, Batangas","Sitio Tibagan, Mabini",http://www.aquaventurewhitetip.com/,0998 565 6914,4.4,5,13.7550727,120.9359731,https://maps.google.com/?cid=16071714036825413213
SJ DIVING RESORT,"Anilao, Batangas","PVVW+59, Mabini",,0966 614 2525,5,1,13.7429027,120.8959327,https://maps.google.com/?cid=16676766910077633035
Driftwood Aqua Sports and Dive Shop,"Anilao, Batangas","Nangkaan, Barangay, Sitio, Bauan",https://www.facebook.com/destinobeachclub/,,0,0,13.7831703,120.9273198,https://maps.google.com/?cid=3531137886536807018
Explore Scuba Diving Services,"Anilao, Batangas","Poblacion, Brgy San Jose, Mabini, Batangas",,0908 864 4174,0,0,13.7557907,120.9200998,https://maps.google.com/?cid=8737537775499106964
MANILA SCUBA DIVING ADVENTURE,"Anilao, Batangas","QW6H+H82, Seashore Trail, Bauan",http://manilascubadivingadventure.weebly.com/,0918 250 3959,0,0,13.761383,120.9281978,https://maps.google.com/?cid=2837984773793970887
Alwan Coffee,"Anilao, Batangas","Stall 4, R&M Building, Anilao Proper, Mabini",,0976 065 3408,5,40,13.7609334,120.9278227,https://maps.google.com/?cid=8272472544343700065
Adventure One Scuba Diving Center,"Anilao, Batangas","Unit 4 Marimar Building, Barangay Niugan, Mabini, 4202, Batangas",https://adventureonescuba.weebly.com/,0917 834 8464,3,1,13.7377352,120.8911833,https://maps.google.com/?cid=8414729216834812785
Capt. Larry's Anilao Dive Center,"Anilao, Batangas","4 National Rd, Mabini",,,5,1,13.7296459,120.9316063,https://maps.google.com/?cid=9564775463294753008
Endorfins Freediving,"Anilao, Batangas","Endorfins Freediving, Mabini",https://www.facebook.com/endorfinsfreediving/,0929 599 6542,5,1,13.7569473,120.9249696,https://maps.google.com/?cid=15001185984484370881
Lucky Tito Scuba Bro,"Anilao, Batangas",Mabini,,0963 999 9996,3.6,13,13.7547464,120.9079742,https://maps.google.com/?cid=13362894917636536526
Haybols Scuba Hub,"Anilao, Batangas","PVPR+XGR, Mabini Circumferential Rd, Mabini",http://www.haybols.com.ph/,0917 856 6887,4.6,13,13.7374942,120.8912287,https://maps.google.com/?cid=2142618690802582987
Lead Marine Resort,"Anilao, Batangas",Mabini,,,4.4,83,13.7566043,120.9159441,https://maps.google.com/?cid=7373371691130461762
anilao diving and resorts,"Anilao, Batangas","anilao proper, Mabini",https://www.anilaodiving.com/,0991 316 5942,0,0,13.7627196,120.927702,https://maps.google.com/?cid=3014057800030766920
CasaDel Beach House,"Anilao, Batangas","Bauan Mabini Circumferential Rd, Mabini",,0917 586 3531,4.7,11,13.7372689,120.8911505,https://maps.google.com/?cid=13664156260528290224
Amor Laut,"Anilao, Batangas","Mabini Circumferential Rd, National Rd, San Jose",http://amorlautresort.com/,0917 108 7451,4.7,64,13.7561998,120.9153442,https://maps.google.com/?cid=6753921484565823649
ANILAO BEACH FRONT INN,"Anilao, Batangas","Brgy, Mabini",,0912 407 7082,5,7,13.7559832,120.9190652,https://maps.google.com/?cid=17136898779112821084
JJ SCUBA DIVE RESORT,"Anilao, Batangas",Anilao,https://www.instagram.com/jj_dive_anilao/,0920 214 8955,4.3,59,13.7565919,120.9160901,https://maps.google.com/?cid=11579003461014147358
Monte Carlo Resort,"Anilao, Batangas",Mabini,,(043) 410 0580,4.5,96,13.7565425,120.9240005,https://maps.google.com/?cid=17025098737814936089
Anilao Cliffhouse,"Anilao, Batangas","QW47+9J2, Mabini",,0915 266 4032,4.9,19,13.755876,120.9140209,https://maps.google.com/?cid=11595645743068957031
AniSiam - Private Retreat,"Anilao, Batangas",Mabini,http://www.anisiam.com/,0977 803 9714,4.9,35,13.7360483,120.8902058,https://maps.google.com/?cid=5128097483841974077
Lakbay Freediving,"Anilao, Batangas","Brgy. Road 3 Majuben - Santa Ana Access Rd, San Jose, Mabini",https://web.facebook.com/lakbayfreediving/,(043) 723 1280,4.6,22,13.7585766,120.9270008,https://maps.google.com/?cid=13508373325736845413
Cebu Fun Divers,"Moalboal, Cebu","Sitio Talisay, Moalboal",http://www.cebufundivers.com/,(032) 474 3219,4.8,279,9.9436213,123.3688108,https://maps.google.com/?cid=14473057440936348209
Scuba Princess Moalboal,"Moalboal, Cebu","The Blue Orchid Resort Moalboal, Cebu",,0906 357 0901,5,7,9.948516999999999,123.3711497,https://maps.google.com/?cid=8949795329534145044
Savedra Dive Center,"Moalboal, Cebu","6032 Panagsama Beach, Moalboal",http://savedra.com/,,4.8,606,9.9489353,123.3660847,https://maps.google.com/?cid=3378652117202168423
Dive LAB Cebu,"Moalboal, Cebu","Panagsama Beach, Moalboal",http://www.divelab.co.kr/,0967 203 8490,4.8,63,9.9486528,123.3659049,https://maps.google.com/?cid=11119412758579254099
FLOI DIVING CENTER,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0922 394 9410,4.9,161,9.949259999999999,123.3658183,https://maps.google.com/?cid=4229528040873263566
Dive Moalboal,"Moalboal, Cebu","W9X8+J7M, Moalboal",https://divemoalboal.com/,0961 716 6593,4.7,3,9.9490778,123.3656722,https://maps.google.com/?cid=8401834823026234757
Amigos Dive Center,"Moalboal, Cebu","Panagsama Beach, Moalboal",http://www.diveinamigos.info/,0956 285 6362,4.8,600,9.949103299999999,123.3658344,https://maps.google.com/?cid=3590270686464582605
Cebu Dive Guide,"Moalboal, Cebu","Tuble Marine Sanctuary, Moalboal",https://www.cebudiveguide.com/,0915 120 1149,5,11,9.9632723,123.3763766,https://maps.google.com/?cid=11262419828775886096
Amo Diving,"Moalboal, Cebu","X928+97X, Panagsama Beach, Moalboal",https://m.facebook.com/pages/category/Tour-Agency/Moalboal-AMO-Tours-104892707647804/,0929 122 0686,4,60,9.9509809,123.3657427,https://maps.google.com/?cid=3904814613093621042
The SHUIM Dive Resort 더쉼 다이브 리조트 모알보알,"Moalboal, Cebu","Moalboal, Tuble",https://theshuimdiveresortmoalboal.oopy.io/,0995 152 0070,5,46,9.9562081,123.3680355,https://maps.google.com/?cid=7634682384087865754
June Dive Resort,"Moalboal, Cebu","Panagsama Rd, Moalboal",http://www.junedive.com/,0917 713 4969,4.6,138,9.950930999999999,123.365626,https://maps.google.com/?cid=11351851473981993079
Neptune Diving Resort Moalboal,"Moalboal, Cebu","W9X8+99G, Panagsama Beach, Moalboal",http://www.neptunediving.com/,0991 654 5330,4.7,319,9.948438,123.3660674,https://maps.google.com/?cid=6453084128571441502
M.B. Ocean Blue Dive Center,"Moalboal, Cebu","Moalboal, Panagsama Beach",http://www.moalboaldive.com/,0927 377 8304,4.3,93,9.949649100000002,123.3655274,https://maps.google.com/?cid=18133591685782181011
The Blue Abyss Dive Shop,"Moalboal, Cebu","Panagsama Beach, Moalboal",http://www.blueabyssdiving.com/,0906 412 0134,4.4,56,9.9461299,123.3667854,https://maps.google.com/?cid=17368224308240409156
LION DIVE RESORT,"Moalboal, Cebu","LionDiveResort, Panagsama Beach, Basdiot, Moalboal",,0915 345 9478,4.7,94,9.9504936,123.366767,https://maps.google.com/?cid=12531025484004956177
Kasai Village Dive Academy,"Moalboal, Cebu","X969+QRC Kasai Village Dive Resort, Moalboal",http://www.scubadivingphilippines.com/,0917 622 0257,4.6,9,9.9619339,123.3695298,https://maps.google.com/?cid=18289097818013107316
Gaja(Go) Dive,"Moalboal, Cebu","411Panagsama Road, Moalboal",https://www.facebook.com/gajagodive?mibextid=ZbWKwL,0956 650 6626,4.3,35,9.9516975,123.3660471,https://maps.google.com/?cid=12433210772075495453
Sabanal Dive,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://www.facebook.com/seasunandfunadventures/,0968 726 0952,4.9,23,9.9499285,123.3657477,https://maps.google.com/?cid=18080741119760364174
Kuya Diving Center 酷雅潜水中心,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0991 681 1999,4.8,40,9.950455999999999,123.3658609,https://maps.google.com/?cid=3259692016256723785
Pescador Diving Center,"Moalboal, Cebu",Moalboal,https://pescadordivingcenter.com/,0995 471 2096,4.9,84,9.948587,123.3708688,https://maps.google.com/?cid=8779855657933677405
M&L Diver Town,"Moalboal, Cebu","Panagsama Rd, Moalboal",https://mldt.storeinfo.jp/,,4.5,31,9.947793299999999,123.3661983,https://maps.google.com/?cid=13951989114522898619
Nelson's Dive Center,"Moalboal, Cebu","X928+2C7, Panagsama Rd, Moalboal",https://www.ibara.ne.jp/~bitoon/,0995 223 9771,4.3,89,9.950035399999999,123.3660338,https://maps.google.com/?cid=13910767864629063315
The Blue Abyss Resort,"Moalboal, Cebu","Purok Malobgas, Moalboal",http://www.blueabyssdiving.com/,0906 412 0134,4.1,261,9.9455264,123.3674861,https://maps.google.com/?cid=3308701140826907759
Dive Pro Career,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://www.diveprocareer.com/,0905 221 6876,5,20,9.9456737,123.3670737,https://maps.google.com/?cid=2850312750391708047
Suroy Swimming and Freediving,"Moalboal, Cebu","Poblacion West Panagsama Rd, Moalboal",,0916 764 6837,4.8,23,9.948035299999999,123.3660876,https://maps.google.com/?cid=8234255686119128803
Ming Yang Diving Inn,"Moalboal, Cebu","Panagsama Rd, Moalboal",https://www.facebook.com/share/188dbpV7s1/?mibextid=wwXIfr,0995 251 9317,5,60,9.9503703,123.3689426,https://maps.google.com/?cid=15829175647601991125
Freediving Planet Moalboal,"Moalboal, Cebu","Brgy, Tuble Rd, Moalboal",http://www.freediving-planet.com/,0939 524 1269,4.7,150,9.9528761,123.367051,https://maps.google.com/?cid=1212549068720739461
Love's Beach & Dive Resort l Scuba Diving,"Moalboal, Cebu","Basdiot,Moalboal,Cebu 6032, Private Road,Panagsama South,Philippines",http://www.loves-beach-resort.com/,0906 412 2003,4.2,6,9.9441474,123.3682808,https://maps.google.com/?cid=18245160602363421458
TikiTiki Divers チキチキダイバーズ,"Moalboal, Cebu","Panagsama Beach, Moalboal Philippines",http://www.tikitikidivers.com/,0945 665 4751,4.5,44,9.951642,123.365788,https://maps.google.com/?cid=18082080550066611628
Emerald Green Diving Center エメラルドグリーンダイビングセンター,"Moalboal, Cebu","Brgy, Panagsama Rd, Moalboal",https://eg-moalboal.com/,0917 631 3346,4.3,41,9.950821099999999,123.3659341,https://maps.google.com/?cid=11128242322750580845
Kasai Village Dive Resort,"Moalboal, Cebu",Moalboal,https://www.kasaivillage.com/,(032) 516 2617,4.4,196,9.9621009,123.3695219,https://maps.google.com/?cid=16558211760192398933
Dive4Help,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://dive4help.org/,0927 562 9989,5,1,9.9490343,123.36585,https://maps.google.com/?cid=5020814603564820403
Cebu Seaview Dive Resort,"Moalboal, Cebu","Sitio Talisay, Panagsama Beach, Moalboal",http://www.cebu-seaview.com/,(032) 474 3759,4.7,273,9.943608399999999,123.369183,https://maps.google.com/?cid=9688208173201686643
IDC Philippines,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://www.idcphilippines.org/,0927 626 3346,5,3,9.9490923,123.3658707,https://maps.google.com/?cid=16794367086322114844
Moalboal scuba diving/ Sardines and turtle experience,"Moalboal, Cebu","Panagsama Beach, Cebu city",https://www.facebook.com/profile.php?id=100091188472221&mibextid=ZbWKwL,0953 094 9961,5,2,9.9499503,123.3664006,https://maps.google.com/?cid=10569275687648725176
UNCLE PANDA DIVING & LOUNGE,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0956 008 7600,4.1,7,9.9529777,123.3667833,https://maps.google.com/?cid=12313058348498282266
Moalboal Sardines Run Snorkeling/Scuba and Tours,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0953 094 2240,4.8,47,9.9498386,123.3668176,https://maps.google.com/?cid=95848263097423955
Magic Island Dive Resort - 3 Star,"Moalboal, Cebu","Tongo Point Rd, Moalboal",https://magicresorts.online/?lang=en,0939 558 1905,4.4,110,9.9339284,123.3771972,https://maps.google.com/?cid=10047712256314281067
Club Hari Dive Resort,"Moalboal, Cebu",Moalboal,http://www.clubhari.com/,(032) 474 3401,4.6,173,9.9437493,123.3687437,https://maps.google.com/?cid=16223933087560238401
Divers Lodge,"Moalboal, Cebu","Panagsama Beach, Moalboal",http://www.diverslodge.ph/,0977 820 3877,4.4,30,9.946269299999999,123.3681803,https://maps.google.com/?cid=6203116733195264771
"Paradive HK Scuba Diving Resort, Moalboal Branch.","Moalboal, Cebu","W9MG+R3H, Moalboal",,,4.4,25,9.9345477,123.3752386,https://maps.google.com/?cid=13241074667629981436
Turtle Bay Dive Resort,"Moalboal, Cebu","Tongo, Moalboal",http://www.turtlebaydiveresort.com/,0977 214 3206,4.5,293,9.9349802,123.3771422,https://maps.google.com/?cid=5155900931824891703
Moalboal Fun Divers,"Moalboal, Cebu",Moalboal,http://nirvanadiveresort.com/,0906 025 2303,5,1,9.951885599999999,123.3659373,https://maps.google.com/?cid=12433931998006676014
Moalboal Freediving,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0956 284 1844,4.2,10,9.9471019,123.3664625,https://maps.google.com/?cid=13129744269262026358
Ô délices French Bakery,"Moalboal, Cebu","Panagsama Rd, Moalboal",,0928 372 9186,4.9,596,9.944826599999999,123.3778135,https://maps.google.com/?cid=1836056665816496966
Marina Village Dive Resort,"Moalboal, Cebu","W9X8+V66, Panagsama Beach, Moalboal",http://www.marina-village-resort.com/,(032) 474 3488,3.4,59,9.9496589,123.3655276,https://maps.google.com/?cid=11091169026614670737
Jojo South Cebu Adventures,"Moalboal, Cebu","Panagsama Rd, Moalboal",,0963 646 8648,4.1,19,9.9498714,123.3664619,https://maps.google.com/?cid=4679085291536396901
Pescador Island Diving Resort 4km ️,"Moalboal, Cebu","W9QV+65P, Panagsama Rd, Moalboal",,,4.3,3,9.938094699999999,123.3929658,https://maps.google.com/?cid=15128178798431516804
Jojo Dive shop,"Moalboal, Cebu","W9V9+MWV, Panagsama Beach, Moalboal",,0915 856 1375,2.6,5,9.9442323,123.3698028,https://maps.google.com/?cid=5435997425703109811
ABISMO Diving Shop,"Moalboal, Cebu","X928+896, Panagsama Beach, Moalboal",,0915 258 0859,5,1,9.950790999999999,123.3658928,https://maps.google.com/?cid=9759151113641771564
Quo Vadis Dive Resort,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://www.quovadisresort.com/,0919 687 9466,4.3,331,9.9459591,123.3668841,https://maps.google.com/?cid=15745199967445974859
Ye Old Countrystyle Bakeshop,"Moalboal, Cebu","W9WH+23C, Panagsama Rd, Moalboal",,,4.9,62,9.945074199999999,123.3776321,https://maps.google.com/?cid=6491050762696217014
Moalboal Coffee Hub,"Moalboal, Cebu","beside M&L Diver Town & Pacitas Beach Resort, Panagsama Beach, Moalboal",http://facebook.com/moalboalcoffeehub,0906 256 9910,5,28,9.947778099999999,123.3662087,https://maps.google.com/?cid=16346875861729541360
Cherepakha Dive,"Moalboal, Cebu","411Panagsama Road, Moalboal",,,4.7,12,9.9517844,123.3659167,https://maps.google.com/?cid=18279889500939956471
Ocean Passion Dive Center,"Moalboal, Cebu","X928+487, Panagsama Beach, Moalboal",,0947 520 3454,5,16,9.9502729,123.3658269,https://maps.google.com/?cid=5227333258582212509
All4Fun Moalboal,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://www.facebook.com/profile.php?id=61559060686390&mibextid=ZbWKwL,0967 093 9989,4.3,7,9.9472133,123.3662543,https://maps.google.com/?cid=11790378341655285767
Love's Beach & Dive Resort,"Moalboal, Cebu","Sitio Talisay, 6032 Private Road, Moalboal",http://www.loves-beach-resort.com/,0966 450 3011,4.3,256,9.944323899999999,123.3683878,https://maps.google.com/?cid=16500974493451635858
Asian Belgian Resort - 2 Star,"Moalboal, Cebu","123 Saavedra Road, Moalboal",,(032) 358 5428,4.2,183,9.980175599999999,123.370444,https://maps.google.com/?cid=14151199014743758728
The Blue Orchid Resort Moalboal,"Moalboal, Cebu",Moalboal,http://blueorchidresort.com/,0929 273 1128,4.5,148,9.9922424,123.3713465,https://maps.google.com/?cid=15333622653581110829
PIG DIVE HOSTEL MOALBOAL,"Moalboal, Cebu","Panagsama Rd, Moalboal",https://www.facebook.com/pigdive/,(032) 479 5665,4.9,215,9.944963999999999,123.3777449,https://maps.google.com/?cid=8045082392535262528
Rino Moalboal Snorkeling,"Moalboal, Cebu","X9J9+XQH, Moalboal",https://www.facebook.com/Rino-moalboal-snorkling-105597321965227/,0995 399 4382,5,1,9.98244,123.3694696,https://maps.google.com/?cid=15655053506968959038
TURTLE DIVING - PANAGSAMA MOALBOAL,"Moalboal, Cebu",Tañon Strait,,,0,0,9.947718,123.365407,https://maps.google.com/?cid=14600351596490443628
DiveZilla Scuba Hub,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0906 055 7156,0,0,9.9464207,123.3685522,https://maps.google.com/?cid=2672556273766250820
Whaleshark Oslob Snorkeling from Moalboal,"Moalboal, Cebu","Panagsama Rd, Moalboal",,0956 485 6317,4.3,15,9.9498607,123.3668143,https://maps.google.com/?cid=6940961412266954021
Teobas Diving Center,"Moalboal, Cebu","W9MG+R7F tonggo point, Moalboal",,0929 471 4627,4,4,9.9345679,123.3756637,https://maps.google.com/?cid=234453850855974086
Basdako Grocery,"Moalboal, Cebu","Basdako, Saavedra Proper, Moalboal",,0921 216 2623,4.6,7,9.9774833,123.3771294,https://maps.google.com/?cid=12900320184530586972
Herbs dive center,"Moalboal, Cebu","W9PG+295 Herbs Guest House, Tongo Point Rd, Moalboal",,0939 854 5401,0,0,9.9350157,123.3759724,https://maps.google.com/?cid=8892601525545246387
MOALBOAL DIVE BAR PRO TRAINING CENTER,"Moalboal, Cebu","X928+3R2, Panagsama Rd, Moalboal",,,4.9,18,9.950120199999999,123.3670114,https://maps.google.com/?cid=10532930945550932731
Brand New Scuba Resort,"Moalboal, Cebu","X938+7HC, Moalboal",,(032) 474 3138,4.5,108,9.9531988,123.3663835,https://maps.google.com/?cid=2278981003783052044
Dolphin House Resort,"Moalboal, Cebu","Dolphin House Resort, Moalboal",http://www.dolphin-house.com/,(032) 513 2009,4.1,251,9.9807624,123.3706472,https://maps.google.com/?cid=16430375493144477750
Nirvana Bamboo houses & Dive resort,"Moalboal, Cebu","Nirvana Tuble, Tuble road, Moalboal",https://elenastravelexperience.com/nirvana-bamboo-houses-philippines,0906 025 2303,4.3,109,9.961504999999999,123.3784886,https://maps.google.com/?cid=8068152345564737416
Cebu Dive Centre,"Moalboal, Cebu","X928+875, Panagsama Beach, Moalboal",,(032) 474 3047,4.9,127,9.9507657,123.3657427,https://maps.google.com/?cid=16670537804404346478
Seaquest Dive Center Airfill Station,"Moalboal, Cebu","W9X9+X7C, Moalboal",,,,0,9.9499471,123.3681431,https://maps.google.com/?cid=6718206778258749413
DIVESTORY MOALBOAL,"Moalboal, Cebu","DIVESTORY MOALBOAL, Panagsama Beach, Moalboal",https://divestory.kr/,0995 472 8927,4.4,8,9.949910599999999,123.3658498,https://maps.google.com/?cid=1263549945713625321
Teivah Yeshua Retreat Center,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0917 880 7554,3.9,25,9.9525449,123.3661888,https://maps.google.com/?cid=18122815401257419042
Dive Safaris Philippines GER,"Moalboal, Cebu","W9X8+G86 Savedra Dive Center, Moalboal",http://www.tauchsafari-philippinen.de/,(032) 474 3132,4.5,2,9.9487921,123.3657731,https://maps.google.com/?cid=17121355198041802391
Moalboal Sardines and Sea turtles,"Moalboal, Cebu","Unnamed Road, Moalboal",,0953 094 2240,3.8,232,9.949797199999999,123.3654407,https://maps.google.com/?cid=8887222790632665707
Gia's Seascape Restobar,"Moalboal, Cebu","W9X8+M7M, Panagsama Beach, Moalboal",,,4.5,10,9.9492154,123.3656636,https://maps.google.com/?cid=6890235838339371052
Moalboal Sardines Run - Cebu Sardines Run,"Moalboal, Cebu","Panagsama Beach, Moalboal",https://blurangetours.com/trip/moalboal-sardines-run-private-tour/,0918 202 7630,4.3,154,9.9489659,123.3653626,https://maps.google.com/?cid=7505367752978782264
Pablo S. Quiza Underwater Photography,"Moalboal, Cebu","Amigos Dive Center, Panagsama Beach, Moalboal",http://www.pablosquiza.com/,,5,8,9.949081399999999,123.3658591,https://maps.google.com/?cid=11946363801063246587
South Travel Adventures,"Moalboal, Cebu","Beside at Floi Diving Center, Panagsama Beach, Moalboal",,0967 382 0176,4.8,26,9.9492224,123.3658259,https://maps.google.com/?cid=5701629763982528545
Krismark Diving Lodge,"Moalboal, Cebu","X928+H9H, Moalboal",https://www.facebook.com/moalboalpolitc?mibextid=ZbWKwL,(032) 474 3188,4.6,43,9.951433699999999,123.3659952,https://maps.google.com/?cid=7821749961037885872
宿霧墨寶潛吧潛水中心/MoalBoal Dive Bar pro training center,"Moalboal, Cebu","Panagsama Rd, Moalboal",,0945 394 9184,5,68,9.9501355,123.3671211,https://maps.google.com/?cid=18098581241226812642
Klyd-Freediving/FunDive And Tours,"Moalboal, Cebu","C.Schmitz Road, Moalboal",https://www.facebook.com/profile.php?id=100090778141959&mibextid=ZbWKwL,0921 849 9460,4.9,76,9.9485744,123.3708682,https://maps.google.com/?cid=257710203787729123
Moalboal Tours cocozone,"Moalboal, Cebu","411 Panagsama Rd, Moalboal",https://sites.google.com/view/moalboal-tours/home,0915 665 8068,5,3,9.9520064,123.3658604,https://maps.google.com/?cid=2639027106703895197
Oceanfront Scuba Villa,"Moalboal, Cebu","W9WC+55J, Francisco Road, Moalboal",,,0,0,9.9454599,123.3703788,https://maps.google.com/?cid=9201922059729490530
Easy Nap Moalboal,"Moalboal, Cebu","W9WF+V8P, Panagsama Rd, Moalboal",,0906 389 6590,4.6,8,9.947212300000002,123.3733256,https://maps.google.com/?cid=8560593793296959327
FakeDM,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0927 793 6994,0,0,9.950786800000001,123.3659128,https://maps.google.com/?cid=3773213943792290063
The Wild Orchid Resort - Moalboal,"Moalboal, Cebu","The Wild Orchid Resort, Moalboal",http://wildorchidresort.org/,0915 847 9544,4.3,64,9.995645099999999,123.3748122,https://maps.google.com/?cid=17312670735201938435
Moalboal Underwater Adventure,"Moalboal, Cebu","Panagsama Beach, Moalboal",,0997 162 1345,5,3,9.9486265,123.3658978,https://maps.google.com/?cid=1536235780800881105
Panagsama Beach,"Moalboal, Cebu","Resort, 6032, Panagsama Beach, Moalboal",,,3.8,44,9.9477915,123.3657243,https://maps.google.com/?cid=818796868951364123
Palmera Palma,"Moalboal, Cebu","Bantayan Road, Moalboal",http://www.palmerapalma.com/,0969 410 1099,4.9,60,9.9495107,123.3713378,https://maps.google.com/?cid=15303452355900939889
Dive Dojo,Puerto Galera,"Sabang Beach, Puerto Galera",http://dive-dojo.com/,(043) 287 3739,4.9,52,13.5205245,120.9756237,https://maps.google.com/?cid=11028016955554137779
Blue Water Diving,Puerto Galera,"GXCG+49H, Beach, Puerto Galera",,0950 462 4341,4.6,56,13.5203032,120.9759859,https://maps.google.com/?cid=7045300331082424901
DIVE YOU GO,Puerto Galera,"Sabang Beach Walk, Puerto Galera",https://www.facebook.com/diveyougoSabangPuertoGalera/,(043) 287 3338,4.7,23,13.5207925,120.9745536,https://maps.google.com/?cid=11377724804984597253
"Action Divers Puerto Galera, Philippines",Puerto Galera,"Small Lalaguna Beach, Puerto Galera",https://www.actiondivers.com/,0920 224 8665,4.9,114,13.523463,120.9706363,https://maps.google.com/?cid=9063629078954669514
Puerto Galera Divers,Puerto Galera,"5203 Sabang Beach Walk, Sabang Beach, Puerto Galera",,0927 579 3806,4.1,30,13.5208327,120.9739815,https://maps.google.com/?cid=13930370100703335166
BADLADZ Scuba Diving,Puerto Galera,"BADLADZ Beach and Dive Resort Small, Puerto Galera",https://badladz.com/badladz-scuba-diving/,0939 914 8819,4.9,10,13.4891196,120.9599516,https://maps.google.com/?cid=9103059963271888648
Cocktail Divers Philippinen,Puerto Galera,"Garden of Eden Dive Resort, Puerto Galera",http://www.goeresort.de/,0967 407 4407,4.6,25,13.5203926,120.9767053,https://maps.google.com/?cid=4602426309462899092
